Algoritmo,Tamano,Distribucion,Repeticion,Time_ms,Comparaciones,Swaps_Moves,Estable
Merge,5000,Uniforme,2,0.8780,55202,123616,SI
Radix,5000,Uniforme,2,0.2300,NA,50000,SI
Timsort,5000,Uniforme,2,0.5790,81085,124915,SI
Insertion,5000,Uniforme,3,7.4380,6214530,6219534,SI
Merge,5000,Uniforme,3,0.9130,55300,123616,SI
Radix,5000,Uniforme,3,0.2090,NA,50000,SI
Timsort,5000,Uniforme,3,0.5550,80852,124645,SI
Insertion,5000,Ordenado,1,0.0110,4999,9998,SI
Merge,5000,Ordenado,1,0.2830,32004,123616,SI
Radix,5000,Ordenado,1,0.1940,NA,40000,SI
Timsort,5000,Ordenado,1,0.0570,25707,86038,SI
Insertion,5000,Ordenado,2,0.0120,4999,9998,SI
Merge,5000,Ordenado,2,0.3310,32004,123616,SI
Radix,5000,Ordenado,2,0.1730,NA,40000,SI
Timsort,5000,Ordenado,2,0.0550,25707,86038,SI
Insertion,5000,Ordenado,3,0.0120,4999,9998,SI
Merge,5000,Ordenado,3,0.2870,32004,123616,SI
Radix,5000,Ordenado,3,0.1750,NA,40000,SI
Timsort,5000,Ordenado,3,0.0560,25707,86038,SI
Insertion,5000,Reverso,1,15.0520,12497500,12507498,SI
Merge,5000,Reverso,1,0.2210,29804,123616,SI
Radix,5000,Reverso,1,0.1370,NA,40000,SI
Timsort,5000,Reverso,1,0.1080,94716,163442,SI
Insertion,5000,Reverso,2,9.4700,12497500,12507498,SI
Merge,5000,Reverso,2,0.1970,29804,123616,SI
Radix,5000,Reverso,2,0.1540,NA,40000,SI
Timsort,5000,Reverso,2,0.1020,94716,163442,SI
Insertion,5000,Reverso,3,15.5220,12497500,12507498,SI
Merge,5000,Reverso,3,0.3650,29804,123616,SI
Radix,5000,Reverso,3,0.1960,NA,40000,SI
Timsort,5000,Reverso,3,0.1330,94716,163442,SI
Insertion,5000,Casi_Ordenado,1,0.7800,780857,785856,SI
Merge,5000,Casi_Ordenado,1,0.3290,50795,123616,SI
Radix,5000,Casi_Ordenado,1,0.2360,NA,40000,SI
Timsort,5000,Casi_Ordenado,1,0.1680,48182,92891,SI
Insertion,5000,Casi_Ordenado,2,0.8990,789869,794868,SI
Merge,5000,Casi_Ordenado,2,0.3130,50816,123616,SI
Radix,5000,Casi_Ordenado,2,0.1400,NA,40000,SI
Timsort,5000,Casi_Ordenado,2,0.1500,48357,92936,SI
Insertion,5000,Casi_Ordenado,3,0.7600,807499,812498,SI
Merge,5000,Casi_Ordenado,3,0.3160,50859,123616,SI
Radix,5000,Casi_Ordenado,3,0.1340,NA,40000,SI
